mock_slope	cov1_slope	cov2_slope	oddSample	Ratio	sig_mock	sig_cov1	sig_cov2
ENSG00000213625.9	-0.0235495738021287	-0.0517142463974226	-0.0527325547103085	mock_slope	27.6926927883213	Significant	Significant	Significant
ENSG00000154764.5	-0.054172167777492	-0.118044399978138	-0.115782507842214	mock_slope	27.4044243291496	Significant	Not	Significant
ENSG00000252010.1	-0.0361830290659782	0.0539639541249098	0.0507776719686617	mock_slope	27.3484148967796	Not	Significant	Significant
ENSG00000168062.10	-0.00855611750802795	0.198706531707719	0.191031405043678	mock_slope	26.6844735351578	Not	Significant	Significant
ENSG00000143401.15	0.0687646338865755	0.0273359758219468	0.0288301120252066	mock_slope	26.6815359619685	Significant	Not	Not
ENSG00000259529.2	-0.00692813816430515	0.0648048018438245	0.0621789315241583	mock_slope	26.3932735484122	Not	Significant	Significant
ENSG00000132561.14	0.0420733661765214	-0.000613788599832127	0.000956413474602505	mock_slope	26.1699841066983	Significant	Not	Not
ENSG00000119508.18	-0.0554710899096665	0.25583740266123	0.268369860517728	mock_slope	26.0839313502236	Not	Not	Significant
ENSG00000114127.10	0.012460490233466	0.0914027067425625	0.0944466351281465	mock_slope	26.0745729090544	Not	Significant	Significant
ENSG00000225091.3	-0.0252934600385602	0.0709828838817402	0.0674007820060774	mock_slope	25.9709034223111	Not	Not	Significant
ENSG00000152778.9	-0.0094977534171669	0.150610828216168	0.156917632252053	mock_slope	25.804539408756	Not	Significant	Significant
ENSG00000113369.9	0.0147617808358963	0.172286065151176	0.166291198773699	mock_slope	25.742437017424	Not	Significant	Significant
ENSG00000087586.17	0.070056186817673	0.0330848217402526	0.0316388942769262	mock_slope	25.525329750435	Significant	Not	Not
ENSG00000117016.10	0.0860383981109075	-0.00499617402176353	-0.00154019784080875	mock_slope	25.2803391861225	Significant	Not	Not
ENSG00000170035.16	0.0009154893786735	-0.031781421795203	-0.0305351728841445	mock_slope	25.2531457596	Not	Not	Significant
ENSG00000185745.10	0.00661426733586425	0.212017412293367	0.220459632755993	mock_slope	25.084660398404	Not	Significant	Significant
ENSG00000183778.17	0.075821702486228	0.0390043127113479	0.0404305966896227	mock_slope	24.766425612683	Significant	Not	Not
ENSG00000105357.16	0.00794485318961575	-0.0148415524427193	-0.0139551360076776	mock_slope	24.7101212571414	Not	Significant	Not
ENSG00000122952.17	0.0326240352462844	0.022103471788309	0.0216775031614069	mock_slope	24.6910976026793	Significant	Significant	Significant
ENSG00000265185.5	0.0449618728319434	0.135244295595889	0.131668384281367	mock_slope	24.4735387816407	Not	Not	Significant
ENSG00000069275.13	0.0345743342897132	-0.00128258566215407	-0.00275300306049807	mock_slope	24.3762791521044	Significant	Not	Not
ENSG00000136485.15	0.0254773222777809	-8.85154625365237e-05	-0.00113928478268072	mock_slope	24.3253576106494	Significant	Not	Not
ENSG00000073111.14	-0.014512132311914	-0.0265534411500956	-0.0270499278954084	mock_slope	24.2599335113997	Not	Significant	Significant
ENSG00000011243.18	0.00217890804706051	0.061467032666819	0.0590927527033333	mock_slope	24.029091968207	Not	Not	Significant
ENSG00000162687.17	0.0469135237948829	0.13773546254083	0.141580921210861	mock_slope	23.8594425241985	Not	Not	Significant
ENSG00000131019.11	-0.0442253628351964	-0.00815274167920765	-0.00960913568154147	mock_slope	23.7507552907412	Significant	Not	Not
ENSG00000124882.4	-0.00785532716425945	0.0343189490565266	0.032607799069124	mock_slope	23.6663779313598	Not	Significant	Significant
ENSG00000127954.12	-0.006131693547199	-0.15416275710666	-0.148073042354256	mock_slope	23.6613234190603	Not	Not	Significant
ENSG00000131475.7	-0.0242371506427385	-0.0174484400225521	-0.0177246156902117	mock_slope	23.5779635989304	Significant	Not	Not
ENSG00000257093.7	0.0224621064460009	-0.00658289006035367	-0.00781900957534805	mock_slope	23.495005194646	Significant	Not	Not
ENSG00000197555.9	0.00342592447651443	0.0222403134033997	0.0230507132432961	mock_slope	23.2235781732632	Not	Not	Significant
ENSG00000230795.3	0.012237645627976	0.161767269468964	0.168368213502042	mock_slope	23.0539504664908	Not	Significant	Significant
ENSG00000181381.13	0.00259876834312659	0.136512775371721	0.130880964253605	mock_slope	23.0516579352564	Not	Significant	Significant
ENSG00000168016.14	0.0344726723610785	0.215493393445485	0.223603814745386	mock_slope	22.9777424422459	Not	Significant	Significant
ENSG00000142627.13	0.0071998264680715	0.0240937442618307	0.0233822402494938	mock_slope	22.7509544095143	Not	Significant	Not
ENSG00000105287.12	0.0101766003136297	0.0862209163132522	0.0896568451793333	mock_slope	22.2409895629036	Not	Significant	Significant
ENSG00000161800.13	0.073101380060832	0.0425950550185556	0.0412090395241637	mock_slope	21.9735240440992	Significant	Significant	Significant
ENSG00000131389.17	0.0255315494050524	0.00914804563355846	0.00839128104004011	mock_slope	21.6440805674109	Significant	Not	Not
ENSG00000140443.14	0.0084370961863052	-0.0440769655908102	-0.0417520087374291	mock_slope	21.6163483804154	Not	Not	Significant
ENSG00000182393.3	0.166821764539479	0.437482888397969	0.451245830179558	mock_slope	21.4989955210686	Not	Significant	Significant
ENSG00000180694.14	-0.0182962890410265	-0.0464608511940966	-0.0452049806879082	mock_slope	21.4484276097426	Not	Not	Significant
ENSG00000170542.6	-0.0143194387116643	0.0568783318355113	0.060207548505875	mock_slope	21.4403108303932	Not	Significant	Significant
ENSG00000179869.15	0.0357451677475678	0.00686299143495959	0.0081568363445127	mock_slope	21.3123370755448	Significant	Not	Not
ENSG00000142945.13	0.083322071402724	0.0630734340503392	0.0621245349247697	mock_slope	21.3078268375462	Significant	Significant	Significant
ENSG00000180611.7	-0.0243996667155085	0.0951445585681905	0.0897364416600844	mock_slope	21.2393805901072	Not	Significant	Significant
ENSG00000184979.9	0.00119434250969981	0.207523189765251	0.197910244241973	mock_slope	21.0312635603785	Not	Significant	Significant
ENSG00000162231.14	-0.00444417822113537	0.041066011824818	0.0432440726653817	mock_slope	20.9213393183862	Not	Not	Significant
ENSG00000047365.12	0.00881533816986285	0.0511410254761535	0.0531756230737431	mock_slope	20.8377525329779	Not	Significant	Significant
ENSG00000101407.13	0.00619945980716805	0.0111021121288968	0.0108771316978604	mock_slope	20.7924185358312	Not	Not	Significant
ENSG00000106348.18	0.00325497422260566	-0.0355855248992151	-0.0374664320207832	mock_slope	20.6694354372181	Not	Significant	Significant
ENSG00000130775.16	-0.054389804743946	0.112913235611576	0.121100928146406	mock_slope	20.6477463503163	Not	Significant	Significant
ENSG00000113504.21	0.00116321656700363	0.085464878992967	0.0895978996210665	mock_slope	20.5029006123139	Not	Significant	Significant
ENSG00000188064.10	0.00322687614185782	-0.0306098420085544	-0.0290256620703697	mock_slope	20.3720891980438	Not	Not	Significant
ENSG00000090339.9	0.000231264227616534	0.0963303680448865	0.0917787704613659	mock_slope	20.2343993720812	Not	Significant	Significant
ENSG00000196230.13	0.017688175158772	-0.00080654714863191	-0.00173306149033976	mock_slope	19.9596574799224	Significant	Not	Not
ENSG00000170190.16	-0.000265314198798717	-0.0411014415047937	-0.0391278774810174	mock_slope	19.7131334554549	Not	Not	Significant
ENSG00000158406.4	0.050195491729737	0.102055207585736	0.099539424437949	mock_slope	19.6987127725406	Significant	Significant	Significant
ENSG00000005187.12	0.068599912037144	0.0214086583875282	0.0236854959358865	mock_slope	19.691496068087	Significant	Not	Not
ENSG00000132530.17	0.0165643283091317	0.197900084888343	0.188858444059303	mock_slope	19.5162570347958	Not	Significant	Significant
ENSG00000135899.17	0.0146727519004027	0.113663695361633	0.118803862092698	mock_slope	19.4229729526376	Not	Significant	Significant
ENSG00000136153.20	-0.0238944247700499	0.00806960031829709	0.00973590299128664	mock_slope	19.1812958168969	Significant	Not	Not
ENSG00000113742.13	-0.0096812645037005	0.0514219229219734	0.0546296622602212	mock_slope	19.0880107140062	Not	Significant	Significant
ENSG00000119698.12	-0.0385563456570108	0.223463102242703	0.209962884617	mock_slope	19.0386905903961	Not	Significant	Significant
ENSG00000223403.4	-0.078729487900656	0.223167543976141	0.207509763295859	mock_slope	18.9240798382456	Not	Not	Significant
ENSG00000172432.19	0.0131627216042288	0.0595941054963256	0.0620662790982476	mock_slope	18.8228373053823	Not	Significant	Significant
ENSG00000251791.1	-0.0340936385789094	0.0448267357983229	0.0490496606563444	mock_slope	18.7195095780105	Not	Not	Significant
ENSG00000105135.16	0.0313784029129358	-0.00865855139304807	-0.010809841157676	mock_slope	18.6075601527651	Significant	Not	Not
